id,date,latitude,longitude,temperature_c,precip_mm,humidity_pct,wind_speed_m_s,fwi_score,drought_code,ndvi,forest_cover_pct,landcover_class,elevation_m,slope_deg,population_density,fire_occurrence
row_4612_1579219200000,2020-01-17,-17.424,130.3157,36.9,0,53,11.4,13.7,357.2,0.27,66,Urban,724,44.6,7858,0
row_2362_1579305600000,2020-01-18,63.4234,101.6597,15.3,4.8,71,10.7,0,385.1,0.32,6,Deciduous Forest,619,28.8,67,0
row_3325_1579305600000,2020-01-18,-42.0131,69.8594,35.6,0,23,4.1,37,346.6,0.8,96,Barren,322,8.3,40,1
row_3756_1579305600000,2020-01-18,48.1606,-88.5375,21.5,0,39,11.5,16.6,23.7,0.18,67,Deciduous Forest,1128,26.6,28,0
row_4113_1579305600000,2020-01-18,-8.4249,82.085,33.9,0,46,7.1,8.5,413.5,0.5,57,Cropland,2344,5.6,12,0
row_1754_1579392000000,2020-01-19,26.5393,174.4184,26.7,7.5,87,9.5,0,313.8,0.75,16,Barren,2288,38.4,4,0
row_3272_1579392000000,2020-01-19,-48.0524,39.8894,41.1,0,33,7.3,44.1,245.8,0.47,24,Savanna,944,36.2,48,1
row_4067_1579392000000,2020-01-19,-42.153,-69.8952,32.2,18.1,92,11.3,0,139.7,0.16,52,Evergreen Forest,779,16,67,0
row_1410_1579478400000,2020-01-20,54.3982,-74.2049,24.5,9.4,71,8.2,0,353.4,0.44,8,Evergreen Forest,2238,36.2,63,0
row_3148_1579478400000,2020-01-20,-11.0281,-50.8095,47.6,0,39,9.4,53,333.6,0.46,36,Evergreen Forest,2193,43.5,0,1
row_3945_1579478400000,2020-01-20,60.6778,3.7347,15.7,11.3,89,13.4,0,342.2,0.72,87,Shrubland,1259,23.7,92,0
row_381_1579564800000,2020-01-21,-35.0826,123.4819,29.8,0,19,6,32.4,339.5,0.67,14,Shrubland,1398,43.4,63,0
row_2054_1579564800000,2020-01-21,-25.6291,151.1971,40.9,13.2,64,6,0,147.5,0.51,29,Urban,2926,31.1,18582,0
row_4360_1579564800000,2020-01-21,21.5628,131.9685,24.7,0,49,10.3,12.4,49.1,0.54,72,Barren,200,26.1,99,0
row_4422_1579564800000,2020-01-21,-37.8116,47.635,38.4,18.3,89,6.3,0,186.5,0.69,40,Deciduous Forest,1517,37.5,67,0
row_231_1579651200000,2020-01-22,9.6254,-64.1351,25.7,0,52,6.7,8,229.4,0.77,45,Grassland,2582,40.2,21,0
row_1261_1579651200000,2020-01-22,-6.4008,170.0156,44.6,7.9,94,13.4,0,446.5,0.64,39,Savanna,1778,1.2,55,0
row_2794_1579651200000,2020-01-22,-25.9207,159.2522,39,0,47,3.3,4,157,0.39,14,Deciduous Forest,715,17,92,0
row_1110_1579737600000,2020-01-23,7.9216,71.8237,32.4,0,55,10.6,12.7,287.2,0.66,19,Evergreen Forest,2453,11,1,0
row_1915_1579737600000,2020-01-23,42.9977,51.8742,15.3,0,51,8.1,9.7,129.4,0.27,42,Deciduous Forest,2516,33.6,72,0
row_3639_1579737600000,2020-01-23,-21.0451,-30.9222,43.2,11,65,7.1,0,447.1,0.88,84,Savanna,1448,31.5,3,0
row_2015_1579824000000,2020-01-24,66.3649,79.9188,22.4,0,35,4.5,11.7,300.8,0.57,87,Cropland,2172,4.1,78,0
row_2152_1579824000000,2020-01-24,24.9738,-94.7843,17.4,0,52,6.1,7.3,341.6,0.29,76,Urban,2629,42.6,19594,0
row_4524_1579824000000,2020-01-24,-1.5866,-50.192,49.1,0,46,13.1,15.7,218.5,0.11,35,Savanna,1455,34,42,0
row_894_1579910400000,2020-01-25,-17.8686,-42.4387,37,0,22,2.2,37.4,372.5,0.46,13,Savanna,1885,41.7,71,0
row_4611_1579910400000,2020-01-25,36.85,156.3782,25.7,0,48,1.6,1.9,105.5,0.64,10,Shrubland,2099,43.7,3,0
row_2621_1579996800000,2020-01-26,-33.6509,66.4529,30.6,0,39,14.6,33.9,430.7,0.22,47,Deciduous Forest,1594,1,78,1
row_1682_1580083200000,2020-01-27,-25.4443,-149.6652,31.5,0,33,11.2,34.3,437.4,0.89,16,Grassland,2551,31.5,85,0
row_4512_1580083200000,2020-01-27,43.9463,172.7319,14.3,0,35,2.5,3,35.9,0.85,78,Shrubland,1747,21.9,69,0
row_1109_1580256000000,2020-01-29,52.8913,96.5058,23.2,12.3,64,4.6,0,62.6,0.79,52,Cropland,0,17.6,48,0
row_2182_1580256000000,2020-01-29,-3.084,24.6693,40.1,0,34,7.7,42.3,117.5,0.17,9,Urban,2789,30.8,4235,0
row_3402_1580256000000,2020-01-29,66.0674,-56.5449,23.9,0,30,8.7,21.1,360.5,0.57,53,Evergreen Forest,1233,17.3,42,0
row_2925_1580342400000,2020-01-30,-22.9055,83.4943,39.5,0,30,3.8,38.6,428.2,0.79,85,Evergreen Forest,1634,19.8,37,1
row_3443_1580342400000,2020-01-30,-0.2876,-121.851,46.8,0,29,12.6,60.8,382.3,0.5,53,Cropland,492,27.2,65,1
row_4381_1580342400000,2020-01-30,48.1858,9.7893,15.9,0,37,9.2,11,177.3,0.29,1,Evergreen Forest,589,44.3,25,0
row_2665_1580428800000,2020-01-31,-42.3512,135.7611,31,3.3,88,4.5,0,186.7,0.04,84,Deciduous Forest,1374,10.8,43,0
row_4847_1580428800000,2020-01-31,-27.6175,-9.9518,40.9,0,52,1.9,2.3,451.2,0.28,83,Shrubland,1968,8.1,14,0
row_2028_1580515200000,2020-02-01,37.4484,-73.5484,26.9,13.3,90,8.4,0,298.3,0.29,43,Deciduous Forest,2220,32.8,5,0
row_3735_1580515200000,2020-02-01,15.1306,-96.7708,26,13.8,81,13.9,0,236.7,0.78,64,Barren,2146,27.8,17,0
row_552_1580601600000,2020-02-02,-46.1442,101.5914,39,0,21,3.7,42.3,336.3,0.18,78,Barren,2106,32.1,44,1
row_1219_1580688000000,2020-02-03,54.0219,-10.0859,21.6,0,38,9.7,15.2,205.9,0.78,94,Deciduous Forest,2907,40.6,48,0
row_413_1580774400000,2020-02-04,-2.3364,120.983,44.9,4.3,79,6.2,0,110.7,0.73,55,Urban,2971,13.6,12432,0
row_2397_1580774400000,2020-02-04,-4.0351,-165.3726,43.6,0,21,2.8,48.3,232.3,0.5,54,Savanna,2766,35.4,70,1
row_779_1580860800000,2020-02-05,4.9766,76.4405,26.7,0,22,4.5,24.3,102.4,0.57,31,Savanna,123,38.1,48,0
row_603_1581033600000,2020-02-07,-26.799,126.1426,42.4,0,26,3.3,44.6,179.4,0.26,75,Deciduous Forest,1086,9.3,0,1
row_1271_1581033600000,2020-02-07,37.8734,-107.891,28,0,31,14.8,34.1,94.2,0.03,18,Barren,2197,8,90,0
row_1518_1581033600000,2020-02-07,-23.4952,-7.9693,42.5,23.6,60,0.8,0,243.8,0.16,37,Cropland,97,0.6,72,0
row_2799_1581033600000,2020-02-07,44.8935,162.2727,20,0,52,8.4,10.1,65.7,0.43,97,Urban,1680,29.6,13804,0
row_3555_1581033600000,2020-02-07,-0.6689,-61.2971,35.7,0,52,10,12,169.8,0.52,89,Cropland,2975,24.6,43,0
row_1858_1581292800000,2020-02-10,47.4676,-168.6682,16.2,0,33,14.2,17,311.4,0.75,92,Savanna,559,11.3,30,1
row_3142_1581292800000,2020-02-10,22.6199,38.0875,23.9,18.8,61,11.7,0,33.3,0.5,51,Barren,1351,13.8,82,0
row_2056_1581379200000,2020-02-11,-14.8984,110.8197,42.6,22.5,62,11.7,0,215,0.08,20,Shrubland,1688,43.3,24,0
row_2990_1581379200000,2020-02-11,-27.984,-177.8857,32.9,0,55,3,3.6,495.2,0.11,57,Shrubland,2037,3.4,60,0
row_3931_1581379200000,2020-02-11,28.1372,-75.1524,17.5,0,24,3.9,4.7,66,0.6,1,Deciduous Forest,1812,25.1,41,0
row_453_1581465600000,2020-02-12,-11.6821,154.1065,33.5,0,56,5,6,410.8,0.18,84,Deciduous Forest,2941,21.3,2,0
row_752_1581465600000,2020-02-12,54.9011,-148.9454,21,0,36,4.9,9.5,398.1,0.79,8,Cropland,2016,14.9,47,0
row_2140_1581465600000,2020-02-12,56.9533,-75.2567,21.4,0,32,11.6,19.9,279.8,0.72,78,Cropland,500,13.7,52,1
row_2367_1581465600000,2020-02-12,13.2407,84.6964,20.6,0,17,1.3,14,152.4,0.32,57,Savanna,707,13.8,32,0
row_4332_1581465600000,2020-02-12,-16.6112,-162.2525,45.5,0,25,4,50.8,158.9,0.84,80,Cropland,1921,44.3,63,1
row_3344_1581552000000,2020-02-13,2.7908,55.2908,27.8,17.2,69,6.8,0,324.7,0.66,46,Evergreen Forest,57,21,69,0
row_4001_1581552000000,2020-02-13,66.9697,150.3408,14.8,9.7,81,14.8,0,94.6,0.34,29,Shrubland,137,30.5,9,0
row_3244_1581638400000,2020-02-14,-30.114,178.4006,39.6,0,28,5.8,42.6,272.2,0.88,72,Evergreen Forest,2580,12.6,8,1
row_4009_1581638400000,2020-02-14,-0.464,-0.7541,40.1,13.9,70,9.8,0,487.1,0.69,79,Shrubland,737,21.4,99,0
row_2360_1581811200000,2020-02-16,32.3288,-51.1112,19.5,0,20,3.4,4.1,392.1,0.83,14,Savanna,2969,38.4,78,0
row_4384_1581811200000,2020-02-16,40.1821,88.6411,24.2,1.2,81,14.7,17.6,151.1,0.3,46,Grassland,372,34.3,43,0
row_1655_1581897600000,2020-02-17,-10.5557,113.2473,39.5,0,56,3.2,3.8,361.7,0.41,98,Shrubland,1776,28.6,53,0
row_4532_1581897600000,2020-02-17,47.696,-140.8873,24,11,87,11.9,0,388.6,0.05,58,Urban,1084,11.1,7850,0
row_4259_1581984000000,2020-02-18,3.483,-156.215,26.8,0,27,3.6,21,77.7,0.08,60,Deciduous Forest,133,28.8,2,0
row_188_1582070400000,2020-02-19,21.2433,30.2767,23.6,0,36,1.3,8.9,333.2,0.49,12,Cropland,2283,15.1,22,0
row_531_1582070400000,2020-02-19,9.7965,-151.7059,25,0,50,7.5,9,62.9,0.69,13,Barren,1622,28.8,30,0
row_1232_1582070400000,2020-02-19,25.3229,-173.5884,28.7,0,24,9.4,32.1,207.1,0.24,28,Savanna,2884,11.7,22,1
row_1349_1582070400000,2020-02-19,-26.8309,1.3758,32.3,0,35,8.4,30.9,471.9,0.81,54,Urban,399,42.5,5002,1
row_3269_1582070400000,2020-02-19,-7.5296,-32.5945,45.7,0,40,1.4,40.3,291.6,0.52,90,Deciduous Forest,1684,5.9,74,0
row_3364_1582070400000,2020-02-19,36.8179,40.0322,24.7,0,49,8.3,10,54.9,0.45,56,Grassland,637,17.5,97,0
row_3962_1582070400000,2020-02-19,-32.8131,-81.2786,31.8,0,54,6.4,7.7,272.3,0.11,37,Savanna,201,36.3,16,0
row_4378_1582070400000,2020-02-19,33.9562,172.3516,19.9,22.6,95,6,0,147.8,0.24,2,Shrubland,1738,28.8,31,0
row_4593_1582070400000,2020-02-19,14.9167,-166.6579,18.4,5,63,12.9,0,278.3,0.48,49,Evergreen Forest,540,8.7,30,0
row_1522_1582156800000,2020-02-20,-9.6131,116.4923,43.6,0,25,7.6,51.8,429.3,0.25,59,Shrubland,1662,44.3,27,0
row_2515_1582156800000,2020-02-20,2.2379,-6.8616,22.4,0,30,8.6,18.8,16.6,0.34,50,Grassland,2259,24.2,64,0
row_2921_1582156800000,2020-02-20,-3.9948,-105.7546,38.7,0,37,5,35.5,498.5,0.36,63,Shrubland,870,18.2,59,1
row_4251_1582156800000,2020-02-20,4.43,-43.4996,21.6,0,31,11.4,20.8,192.5,0.09,67,Savanna,1792,23.1,20,0
row_94_1582243200000,2020-02-21,38.7946,-169.765,20.3,0,24,3.9,13.1,354.3,0.1,38,Deciduous Forest,408,1.9,44,0
row_1622_1582243200000,2020-02-21,-38.835,162.5342,31.7,0,59,13.2,15.8,458.6,0.76,93,Deciduous Forest,1852,6.7,65,1
row_1694_1582243200000,2020-02-21,-35.5916,-82.5946,34.1,0,24,10,41.4,345.5,0.49,46,Evergreen Forest,1029,35.7,42,1
row_3100_1582243200000,2020-02-21,65.6787,121.0634,14.6,0,43,3.6,4.3,377.3,0.39,89,Barren,1327,12.6,73,0
row_2600_1582329600000,2020-02-22,-24.2694,-34.3569,39.4,20.7,73,1.2,0,364.3,0.49,33,Evergreen Forest,383,34.2,29,0
row_3434_1582329600000,2020-02-22,-41.033,-151.699,42.9,1.8,70,11,13.2,233.1,0.02,69,Evergreen Forest,582,11.6,93,0
row_3944_1582329600000,2020-02-22,68.2083,-80.9194,17.4,0,29,0.2,0.2,237.1,0.61,85,Deciduous Forest,1339,10.4,95,0
row_671_1582416000000,2020-02-23,0.4088,131.8175,21.1,19.9,82,2.4,0,102.7,0.46,21,Savanna,2900,28.3,23,0
row_2803_1582416000000,2020-02-23,8.1097,-109.6275,25.6,21.3,78,7.8,0,113.5,0.53,13,Barren,1834,4.5,30,0
row_2816_1582416000000,2020-02-23,-7.7005,-17.4735,46.9,0,33,8.1,53.7,130.8,0.71,44,Cropland,1592,28.4,65,0
row_4350_1582416000000,2020-02-23,51.4581,178.5355,18.4,0,48,11.3,13.6,337.5,0.75,21,Shrubland,60,29,6,0
row_4667_1582416000000,2020-02-23,67.6505,-15.756,10.8,22.4,60,3,0,400,0.79,96,Savanna,2710,8.6,53,0
row_1230_1582502400000,2020-02-24,34.1291,24.92,16.9,0,16,2,2.4,72.8,0.55,22,Deciduous Forest,1074,9.4,11,0
row_4211_1582502400000,2020-02-24,-11.2093,-43.4646,36.8,0,47,2.2,2.6,483.8,0.61,26,Evergreen Forest,727,6.5,17,0
row_1407_1582588800000,2020-02-25,64.6834,-154.3174,15.3,0,18,4.7,5.6,313.3,0.2,99,Cropland,2609,34.1,2,0
row_1931_1582675200000,2020-02-26,15.9363,23.446,29.4,0,24,8.9,32.7,122,0.38,54,Shrubland,132,40.1,96,0
row_2899_1582675200000,2020-02-26,-13.8478,-159.9432,40.1,0,42,12.6,15.1,415.6,0.65,39,Savanna,2612,23.6,74,0
row_2953_1582675200000,2020-02-26,63.8413,137.4254,16.9,0,23,1.9,2.3,385.3,0.44,81,Urban,802,34.9,7679,0
row_3164_1582675200000,2020-02-26,0.6752,-118.9902,22.3,21.3,82,9.2,0,348.2,0.32,66,Savanna,438,43.5,31,0
row_4506_1582675200000,2020-02-26,25.9973,-32.265,28.4,0,26,3.4,23.7,184.5,0.18,36,Shrubland,1486,32.4,3,0
row_4073_1582761600000,2020-02-27,-4.5458,113.3807,39.4,20.7,74,6,0,346.3,0.64,97,Urban,431,24.4,14653,0
row_1262_1582848000000,2020-02-28,-32.1729,-148.3564,41.5,0,42,7.1,8.5,465.2,0.65,8,Evergreen Forest,21,38.1,87,0
row_1717_1582848000000,2020-02-28,65.9323,27.588,19.1,0,22,9.5,11.4,300.7,0.71,45,Shrubland,2441,22.8,63,0
row_2207_1582848000000,2020-02-28,-1.3439,-4.3898,44.1,0,32,6.2,47.4,481.3,0.55,85,Shrubland,1113,36.9,91,0
row_3675_1582848000000,2020-02-28,-42.8365,-0.0792,37.1,0,20,7.6,44.8,481.3,0.09,78,Grassland,1174,9,5,1
row_2273_1582934400000,2020-02-29,-37.0665,99.3545,32.4,6.9,76,5.2,0,126.9,0.24,58,Barren,2076,6.9,9,0
row_4629_1582934400000,2020-02-29,34.593,-96.6053,16.5,0,60,12.3,14.8,314,0.68,69,Cropland,1322,25.6,74,0
row_4696_1582934400000,2020-02-29,54.2253,-47.5469,23.4,0,15,14.6,34.9,49.9,0,46,Deciduous Forest,1110,24.6,20,1
row_3872_1583020800000,2020-03-01,-21.8904,-98.2498,35.1,0,32,8.2,36.6,344.8,0.82,7,Shrubland,856,13,59,1
row_4331_1583020800000,2020-03-01,35.4436,-79.2777,23.4,0,43,6.5,7.8,227.3,0.89,26,Grassland,824,19.1,2,0
row_4738_1583020800000,2020-03-01,1.9749,-55.409,26.6,7.3,90,6.9,0,111,0.61,53,Shrubland,1874,7.7,39,0
row_1069_1583107200000,2020-03-02,21.7468,-172.3743,19.4,14.7,88,2.4,0,392.4,0.65,41,Evergreen Forest,2337,34.2,78,0
row_4021_1583107200000,2020-03-02,64.4538,-137.3897,15.4,0,40,12,14.4,42.7,0.58,79,Evergreen Forest,1172,35.7,40,0
row_3591_1583193600000,2020-03-03,64.3041,77.2731,11.1,23,81,12.6,0,326.6,0.72,32,Deciduous Forest,1301,15,91,0
row_2007_1583280000000,2020-03-04,68.2499,-76.8005,19.1,0,42,9.4,11.3,358.4,0.35,55,Urban,1488,34.5,12046,0
row_2062_1583280000000,2020-03-04,48.1342,164.3197,16.8,1.7,91,12.7,15.2,295,0.53,96,Grassland,952,23.7,35,0
row_1035_1583366400000,2020-03-05,-35.6973,177.8879,39,23.9,64,3.8,0,254.9,0.89,56,Grassland,2747,7.9,66,0
row_2666_1583366400000,2020-03-05,-3.8838,114.2958,46.6,0,36,5,47.7,445.5,0.09,6,Urban,1109,2.1,1883,1
row_1241_1583452800000,2020-03-06,26.4369,68.8944,22,7.6,61,7.2,0,25.2,0.81,4,Evergreen Forest,1157,22.7,61,0
row_2570_1583452800000,2020-03-06,4.09,-124.746,25,0,19,0,18.1,30.5,0.56,36,Shrubland,1005,39.1,70,0
row_3230_1583452800000,2020-03-06,6.2385,-163.8681,29.5,0,15,2.9,30,322,0.47,65,Savanna,943,14.6,61,0
row_877_1583539200000,2020-03-07,58.7595,1.103,23.5,0,27,7.2,20.2,352.4,0.2,31,Shrubland,1818,37.7,79,1
row_1456_1583625600000,2020-03-08,-41.1686,73.2427,34.5,0,16,13.9,50.4,161.4,0.66,91,Evergreen Forest,486,3.7,93,0
row_3303_1583625600000,2020-03-08,0.3053,-78.4541,23.1,3,79,0.2,0,36.3,0.87,62,Deciduous Forest,1906,30.7,19,0
row_886_1583712000000,2020-03-09,68.1757,-139.8572,17,6.1,77,11.7,0,126.4,0.24,34,Evergreen Forest,2114,6.5,40,0
row_2796_1583712000000,2020-03-09,19.3054,-56.8548,22.1,12.4,62,1,0,47.7,0.38,70,Shrubland,2130,3.8,92,0
row_297_1583798400000,2020-03-10,-18.8111,-179.803,43.9,0,22,6.1,52.3,406.8,0.57,19,Cropland,2930,22.8,21,0
row_528_1583798400000,2020-03-10,-28.1835,-129.3477,31.3,0,19,13.7,43.7,390.3,0.17,68,Evergreen Forest,1178,0.7,51,1
row_3656_1583798400000,2020-03-10,-15.7924,114.627,45.5,19.5,80,13.7,0,473.3,0.24,30,Deciduous Forest,360,29,33,0
row_19_1583884800000,2020-03-11,64.1688,-55.8339,16.3,23.9,73,12.6,0,268.7,0.77,99,Deciduous Forest,1865,41.3,15,0
row_416_1583971200000,2020-03-12,41.5868,63.1771,14,0,26,4.2,5,22.4,0.61,20,Evergreen Forest,2242,11.5,37,0
row_568_1583971200000,2020-03-12,51.8285,80.4568,17,4.8,61,6.8,0,314.7,0.8,86,Cropland,195,15.1,78,0
row_1731_1583971200000,2020-03-12,-9.4559,-30.4361,44.6,0,20,11.4,60.8,131.6,0.05,34,Evergreen Forest,2360,33,50,0
row_4109_1583971200000,2020-03-12,-11.4016,-60.2104,40,17.9,91,2.3,0,438.1,0.42,53,Barren,2101,36.9,56,0
row_4891_1583971200000,2020-03-12,-3.2985,-30.6632,45.5,0,21,7.7,57,387,0.76,48,Savanna,739,16.2,4,0
row_2607_1584057600000,2020-03-13,-33.5399,95.0909,30.6,0,35,3.9,23.3,156.6,0.26,11,Shrubland,2304,27.1,94,0
row_4197_1584057600000,2020-03-13,22.4417,-99.7872,19.9,0,48,11.3,13.6,198.4,0.41,22,Cropland,2003,32.2,6,0
row_3198_1584144000000,2020-03-14,55.1605,117.0649,18.2,9.5,77,10.9,0,173.6,0,52,Savanna,1294,30.2,96,0
row_3522_1584230400000,2020-03-15,-23.8073,50.7299,38.3,0,26,14.2,51.6,479.5,0.87,40,Urban,996,27.7,18257,1
row_219_1584316800000,2020-03-16,-26.1367,106.6727,32.3,0,30,4.9,29.1,411.1,0.15,74,Savanna,1877,34.5,66,0
row_767_1584316800000,2020-03-16,-24.0836,77.5601,31.5,0,24,12,39.5,309.5,0.06,69,Savanna,1400,23.9,60,0
row_385_1584403200000,2020-03-17,1.7845,-59.9052,26.9,24.3,82,13.9,0,385.2,0.85,64,Barren,2159,19.4,85,0
row_4401_1584403200000,2020-03-17,-1.8972,-59.123,47.9,0,54,8.9,10.7,378.6,0.52,58,Barren,2532,42.8,14,0
row_4744_1584403200000,2020-03-17,54.0052,-109.5452,12.5,0,32,2.9,3.5,197.1,0.49,10,Barren,2251,32.2,28,0
row_4416_1584489600000,2020-03-18,64.2534,-157.5898,10.9,0,19,3.4,4.1,36.8,0.77,68,Urban,1969,26.2,17432,0
row_3242_1584576000000,2020-03-19,-14.6963,46.3108,39.2,0,27,12.3,50,229.6,0.35,80,Cropland,2978,42.3,15,0
row_3898_1584576000000,2020-03-19,-33.7109,80.3057,35.3,0,17,1.4,36.3,490.7,0,39,Shrubland,1831,8.4,26,0
row_766_1584662400000,2020-03-20,59.7012,77.8081,21.5,15.6,92,8.1,0,109.4,0.71,16,Urban,1916,1.4,12962,0
row_53_1584748800000,2020-03-21,-40.9053,-99.3273,40.2,0,35,5.9,40.1,112.6,0.51,89,Shrubland,1182,43.5,92,1
row_940_1584748800000,2020-03-21,18.5876,53.7707,27.6,10.7,68,10.7,0,110,0.03,32,Savanna,2608,10.4,24,0
row_1275_1584748800000,2020-03-21,-49.5457,-89.9471,36.3,0,19,3.3,38.9,455.9,0.67,9,Shrubland,2579,28.3,67,0
row_1996_1584748800000,2020-03-21,45.1498,-107.1869,26.4,0,46,4.1,4.9,247.4,0.85,84,Urban,1858,6,6036,0
row_849_1584835200000,2020-03-22,56.6724,86.6411,23.8,0,46,8.5,10.2,199.7,0.28,35,Grassland,1281,30.1,25,0
row_1543_1584835200000,2020-03-22,32.4894,-92.0148,25.4,0,17,11,32.6,98.5,0.33,37,Urban,299,42.8,9844,1
row_4886_1584835200000,2020-03-22,19.2939,92.6759,23.4,0,22,6.3,21.6,13.7,0.82,85,Barren,1250,7.3,22,1
row_4926_1584835200000,2020-03-22,49.9967,-7.5556,16.9,0,47,9.4,11.3,89.3,0.02,2,Shrubland,2371,42.7,14,0
row_4028_1584921600000,2020-03-23,25.6788,97.9906,18.7,0,23,2.6,3.1,15.1,0.47,28,Shrubland,706,2.3,96,0
row_3376_1585008000000,2020-03-24,63.0039,-82.1528,17.5,0,58,2.9,3.5,131.9,0.29,9,Grassland,1106,32.1,93,0
row_512_1585094400000,2020-03-25,-44.2264,103.0775,34.2,0,52,6.1,7.3,176.1,0.23,60,Cropland,2082,26.7,77,0
row_1005_1585094400000,2020-03-25,62.9004,86.5114,23.6,0,47,0.4,0.5,260.3,0.04,18,Urban,1588,30.5,3893,0
